code,name,description,material,size,fragm,cultlayer,image_file,group_key,is_mask,part_extracted,part_norm,name_norm,name_is_uncertain,name_is_missing,material_norm,material_is_missing,split
М102-2012-1-0494,Изразец,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т,Керамика,"7+ х 3,5+ х 1,1+ см",Фрагмент,Пестрая мешаная супесь,dataset\М102-2012-1-0494_orig.jpg,М102-2012-1-0494,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-1-0529,Изразец,Изразца-перемычки красноглиняного с белой поливой и кобальтовой растительной росписью фр-т,Керамика,"4,5+ х 4,3 х 4,2+ см",Фрагмент,Пестрая мешаная супесь,dataset\М102-2012-1-0529_orig.jpg,М102-2012-1-0529,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-1-0603,Изразец,Изразца (перемычки?) красноглиняного с белой поливой и голубой росписью фр-т,Керамика,"3,8+ х 2,8 х 5,1+ см",Фрагмент,Дерн со щепой,dataset\М102-2012-1-0603_orig.jpg,М102-2012-1-0603,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-1-0611,Изразец,Изразца красноглиняного плоского с белой поливой и голубой росписью фр-т,Керамика,"9,8+ х 6,8+ х 2,2 см",Фрагмент,Дерн со щепой,dataset\М102-2012-1-0611_orig.jpg,М102-2012-1-0611,False,общий_фрагмент,общий_фрагмент,Изразец,False,False,Керамика,False,train_inner
М102-2012-1-0691,Миска,"Миски серолощеной с орнаментом ""волна"" снаружи венчика фр-т",Керамика,D28 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),dataset\М102-2012-1-0691_orig.jpg,М102-2012-1-0691,False,венчик,венчик,Миска,False,False,Керамика,False,train_inner
М102-2012-1-0827,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D19 см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0827_orig.jpg,М102-2012-1-0827,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-1-0833,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0833_orig.jpg,М102-2012-1-0833,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-1-0837,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0837_orig.jpg,М102-2012-1-0837,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-1-0843,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0843_orig.jpg,М102-2012-1-0843,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
М102-2012-1-0847,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи края фигурного фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,dataset\М102-2012-1-0847_orig.jpg,М102-2012-1-0847,False,общий_фрагмент,общий_фрагмент,Тарелка,False,False,Фаянс,False,train_inner
